                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0738,                 3.7145,                 3.5811,                0.03661,                0.03717,                0.00841,                0.00245,                 3.4927,                 4.6879,                 4.4365,             0.00066381,             0.00066381,             0.00066381
                      2,                 2.3344,                 2.2199,                 2.4058,                0.14969,                0.23606,                0.09823,                0.03286,                 2.2784,                 3.5645,                 2.8792,              0.0012646,              0.0012646,              0.0012646
                      3,                 2.0944,                 1.9101,                 2.1583,                0.47294,                0.37732,                0.34861,                0.14665,                 2.1659,                 2.3502,                 2.5336,              0.0017994,              0.0017994,              0.0017994
                      4,                 1.9184,                 1.6779,                 1.9702,                0.64077,                0.45353,                0.50331,                 0.2196,                 2.0368,                 1.9758,                 2.3332,               0.001703,               0.001703,               0.001703
                      5,                 1.8626,                 1.5805,                 1.9086,                0.60389,                0.49814,                0.53814,                0.23113,                 2.0384,                 1.9534,                 2.3802,               0.001703,               0.001703,               0.001703
                      6,                 1.7906,                 1.4929,                 1.8375,                0.51985,                0.48903,                0.45824,                0.19925,                 2.0005,                 1.9767,                 2.3173,               0.001604,               0.001604,               0.001604
                      7,                 1.7527,                 1.4016,                 1.7949,                  0.529,                0.49814,                0.46807,                0.22769,                 1.9004,                 2.4557,                 2.2656,               0.001505,               0.001505,               0.001505
                      8,                 1.7109,                 1.3462,                 1.7595,                0.67725,                0.56691,                0.62311,                0.24774,                 2.0483,                 1.7315,                 2.3416,               0.001406,               0.001406,               0.001406
                      9,                 1.6796,                 1.2561,                 1.7055,                0.70044,                0.47955,                0.58027,                0.30056,                 1.9722,                 1.8333,                 2.2679,               0.001307,               0.001307,               0.001307
                     10,                 1.6706,                 1.2459,                 1.6982,                0.75863,                0.48489,                0.57695,                0.30028,                 1.8548,                 1.8973,                 2.2136,               0.001208,               0.001208,               0.001208
                     11,                 1.6186,                 1.0645,                 1.6391,                0.71017,                0.56506,                0.62882,                0.32339,                  1.879,                 1.7656,                 2.2248,               0.001109,               0.001109,               0.001109
                     12,                 1.5974,                0.99418,                 1.6182,                0.77243,                0.59936,                0.67205,                0.34403,                 1.8671,                 1.6054,                 2.1951,                0.00101,                0.00101,                0.00101
                     13,                 1.5642,                0.96305,                 1.5961,                0.79378,                0.63383,                0.70083,                0.35336,                  1.828,                 1.4402,                 2.1671,               0.000911,               0.000911,               0.000911
                     14,                 1.5298,                0.94628,                 1.5753,                0.80303,                0.61524,                0.72065,                0.37032,                 1.8356,                 1.3635,                 2.1639,               0.000812,               0.000812,               0.000812
                     15,                 1.5072,                0.89618,                 1.5518,                0.78131,                0.61095,                0.69641,                0.36079,                 1.7674,                 1.4432,                 2.0667,               0.000713,               0.000713,               0.000713
                     16,                 1.4927,                 0.8696,                 1.5229,                0.82108,                0.63011,                0.72658,                0.34136,                 1.9116,                 1.3837,                 2.2041,               0.000614,               0.000614,               0.000614
                     17,                 1.4881,                0.86327,                  1.517,                0.81988,                0.59665,                0.70279,                0.38281,                 1.8179,                 1.4294,                 2.1686,               0.000515,               0.000515,               0.000515
                     18,                 1.4507,                0.83291,                 1.4977,                0.83155,                0.65148,                0.76185,                0.39079,                  1.803,                 1.2292,                 2.1278,               0.000416,               0.000416,               0.000416
                     19,                 1.4341,                0.81066,                 1.4791,                0.78395,                 0.7026,                0.76301,                0.40897,                 1.7426,                  1.207,                 2.0594,               0.000317,               0.000317,               0.000317
                     20,                 1.4101,                0.77912,                 1.4637,                 0.8164,                0.69703,                0.77457,                0.38461,                 1.8087,                 1.1503,                 2.1128,               0.000218,               0.000218,               0.000218
